pwsid,p_lead_rich,exp_hidden_lead,inv_cost,rank
IN5291011,0.8834520913998762,692.112704768751,415800.0,202
NC0454010,0.8833118896893878,3148.46326594017,1891800.0,203
MO5010550,0.8832970664941184,103.5157674009528,62200.0,204
PA3060069,0.8825888564671709,3968.359542780816,2386400.0,205
NE3113705,0.8825115960887765,403.71830046557795,242800.0,206
IL1250200,0.8822569908327814,137.63686701611454,82800.0,207
OH2000212,0.882139733935686,506.59591121100294,304800.0,208
IL1030050,0.8816658051727826,30.897708727744043,18600.0,209
WI7010110,0.8815256179222951,32.22151831305021,19400.0,210
NY2701047,0.8814726609113442,3317.288368178701,1997400.0,211
NH0511030,0.881353031922411,397.54233310385,239400.0,212
KS2019703,0.8808632800261703,66.38620318110148,40000.0,213
NC0114010,0.8805578676124226,1945.7686074982787,1172800.0,214
LA1031009,0.8804453215535473,41.47168985518352,25000.0,215
MO4010023,0.8804359432080082,12.939029409130251,7800.0,216
MO2010745,0.880250383453995,39.47230730138681,23800.0,217
MD0150005,0.8796309678401673,18933.70653013828,11424200.0,218
WI8160147,0.8792621852103836,119.27796619605132,72000.0,219
FL3050223,0.8790996850205361,18325.66000278687,11064000.0,220
NY3202419,0.8787182699153682,139.0715437337908,84000.0,221
AL0000755,0.8786648477025776,113.89929177456466,68800.0,222
TX0220001,0.8785121988732905,537.2861494588433,324600.0,223
NJ0817001,0.877756475883031,174.64143600058523,105600.0,224
IA1750048,0.8767435197958163,235.5599336797186,142600.0,225
NY4700098,0.8760943462220625,35.324334147207864,21400.0,226
NH1741010,0.8758496664117711,493.0823933296651,298800.0,227
ND0500099,0.8754423316174272,190.01564283085048,115200.0,228
IL1770200,0.8754346440762342,223.6622821809997,135600.0,229
IL0310960,0.8745436723118651,635.0421404905134,385400.0,230
NJ1438003,0.8743845968024027,382.5375280345963,232200.0,231
LA1053006,0.874096709455035,480.567178349741,291800.0,232
MD0210012,0.8737296502270552,240.01806549903176,145800.0,233
ND2100704,0.8736185127234927,123.45037831816762,75000.0,234
NC0459010,0.8730170161520883,530.9646010624879,322800.0,235
ME0090700,0.8727280109050092,411.739538133407,250400.0,236
NC0332010,0.8726980813530608,17880.45880074082,10874400.0,237
MN1270012,0.8725191377635761,140.72072353897858,85600.0,238
043740039,0.8724481948279691,286.0212036472288,174000.0,239
TX1460001,0.8723250032558151,64.42786218343389,39200.0,240
ND3600231,0.8712654959737333,262.32315293414723,159800.0,241
IN5277009,0.8705017345534113,729.2029760547751,444600.0,242
NV0000237,0.8701299047158306,98.69381100014253,60200.0,243
NC0136010,0.870106090186302,7287.40401212533,4445200.0,244
MO4010496,0.8699031730264547,25.24067524351883,15400.0,245
IL0970900,0.8698821024089036,188.48099642451416,115000.0,246
IL0312460,0.8698427116460752,2357.052991966518,1438200.0,247
LA1113001,0.8697256824112019,1973.9424502448433,1204600.0,248
MN1760008,0.8691796606841681,248.26648163512985,151600.0,249
