pwsid,p_lead_rich,exp_hidden_lead,inv_cost,rank
ND2601037,0.38888888888888884,75.17652191289132,102600.0,132
PA7010003,0.38888888888888884,50.11768127526088,68400.0,133
SD4600004,0.38888888888888884,58.47062815447102,79800.0,134
MN1750002,0.38888888888888884,32.53252995060794,44400.0,135
WI7010110,0.38888888888888884,14.214663987427793,19400.0,136
TX2430002,0.38888888888888884,133.79369299506777,182600.0,137
KY0710707,0.3888413442253415,15.971226275652135,21800.0,138
IN5267003,0.38718661904053886,99.0670984216105,135800.0,139
ND1200748,0.3828969640626882,25.827019045882935,35800.0,140
NE3104301,0.38264467471086094,63.5877696040312,88200.0,141
IN5270001,0.3822451026742136,38.17043706456192,53000.0,142
NE3113705,0.38169934640522873,174.6141490972989,242800.0,143
IN5252016,0.3815844845597908,558.050728476509,776200.0,144
WI4360364,0.38073309006457584,210.46993473279667,293400.0,145
PA4070023,0.38055555555555554,1668.6340744923596,2327200.0,146
MN1790004,0.37833333333333335,14.113968061390198,19800.0,147
OH0301212,0.37833333333333335,54.45995757021269,76400.0,148
MI0004110,0.37833333333333335,107.35169646693757,150600.0,149
IL1950350,0.37833333333333335,93.66542440740768,131400.0,150
ND0500099,0.37833333333333335,82.11763235717933,115200.0,151
IN5277009,0.37833333333333335,316.922737378489,444600.0,152
ND4800152,0.37831030512377656,67.14418514364812,94200.0,153
TX2210002,0.37831030512377656,158.38044521145025,222200.0,154
TN0000104,0.37831030512377656,36.066834058053026,50600.0,155
PA3480057,0.37831030512377656,1360.418171604743,1908600.0,156
PA2359014,0.37831030512377656,204.56880187077505,287000.0,157
SD4600294,0.37831030512377656,2571.4369673484603,3607600.0,158
ND2800953,0.37831030512377656,58.16311579322385,81600.0,159
ND5100072,0.37831030512377656,23.37929164237429,32800.0,160
PA6200051,0.37831030512377656,277.84292323772866,389800.0,161
PA6620021,0.37831030512377656,5.132039628813869,7200.0,162
PA3060069,0.37831030512377656,1700.9860236390857,2386400.0,163
WI8160147,0.37831030512377656,51.32039628813869,72000.0,164
VA6153675,0.37579365079365074,7.363632583598719,10400.0,165
PA3060078,0.37579365079365074,177.43522360094605,250600.0,166
PA7210029,0.37579365079365074,4649.284326629098,6566400.0,167
PA1090082,0.37579365079365074,259.85126520968555,367000.0,168
PA5100012,0.37579365079365074,2863.036991830748,4043600.0,169
PA4440010,0.37579365079365074,1310.1601666049105,1850400.0,170
PA3480055,0.37579365079365074,1337.3489638366595,1888800.0,171
PA2400078,0.37579365079365074,7.505240902514078,10600.0,172
MS0240036,0.37566137566137564,150.3350997938187,212400.0,173
NE3102301,0.37566137566137564,64.40910584386772,91000.0,174
ME0090700,0.37566137566137564,177.23120992642282,250400.0,175
IL1770200,0.37566137566137564,95.97664563108201,135600.0,176
IA4344088,0.37566137566137564,46.00650417419123,65000.0,177
IN5282002,0.375262151056521,9503.185698497724,13440800.0,178
WI1110041,0.375,16.674491702483415,23600.0,179
GA1090001,0.375,193.8762933542987,274400.0,180
IL0850200,0.37336601307189543,71.61300429064242,101800.0,181
MO4010496,0.37336601307189543,10.833401434930188,15400.0,182
IN5220029,0.37336601307189543,69.22121436345004,98400.0,183
MN1180008,0.37336601307189543,67.8142791121604,96400.0,184
TX0180016,0.3732145314285978,6.8911857123179,9800.0,185
MO4010023,0.3725386779184247,5.474888828438229,7800.0,186
IN5220008,0.3725386779184247,181.51362192745205,258600.0,187
MO2010440,0.3725386779184247,2.8076352966349893,4000.0,188
PA7360091,0.372204076062076,82.04957197938171,117000.0,189
DE0000563,0.3717431725005425,15.128855866531906,21600.0,190
PA6420018,0.371031746031746,11.464741088955279,16400.0,191
PA1090074,0.371031746031746,1699.0187038168847,2430400.0,192
VA1185061,0.37036801958421833,203.76315853913005,292000.0,193
IL1230100,0.36836836836836834,86.75643081660608,125000.0,194
VA3183950,0.36817265142845956,140.95632294839254,203200.0,195
IL1410350,0.36574074074074076,36.79797588203417,53400.0,196
LA1031009,0.36574074074074076,17.22751679870514,25000.0,197
MO4010862,0.36574074074074076,2.4807624190135398,3600.0,198
MN1730006,0.3643986969013498,48.06004670637433,70000.0,199
IL1690200,0.36373873873873874,208.3399105779828,304000.0,200
ND1400732,0.36373873873873874,83.88422715376676,122400.0,201
TX0780001,0.3619047619047619,23.047314654473713,33800.0,202
LA1113001,0.36004273504273504,817.1583902556234,1204600.0,203
ND0600869,0.36004273504273504,24.14979137730383,35600.0,204
OH6801612,0.3590913047772377,184.29829842723152,272400.0,205
MI0003280,0.3576610090031207,102.4293740217521,152000.0,206
PA1230004,0.3576344858973832,5214.885694095817,7739200.0,207
KS2002301,0.35026700901721464,47.12016243564992,71400.0,208
MT0000329,0.3494319583601329,12.377410786085992,18800.0,209
MN1730004,0.34692920768870134,5.7521853237964615,8800.0,210
KY1130293,0.34692920768870134,30.460435919194897,46600.0,211
MN1220001,0.34692920768870134,70.59500170113839,108000.0,212
NC0136060,0.3465392742633299,1.3058454809691569,2000.0,213
NY1302783,0.3422995780590717,16.38133959800937,25400.0,214
MN1600008,0.3421581868516242,53.63639684969893,83200.0,215
OH3800912,0.3387229185023602,143.721685610252,225200.0,216
IA5939009,0.3379042992574451,2.5466135295827073,4000.0,217
MN1560016,0.3366223366223366,20.422463814229076,32200.0,218
ND4900622,0.3366223366223366,75.0937799877243,118400.0,219
NY0400339,0.3366223366223366,55.93979218680138,88200.0,220
TX0450004,0.3366223366223366,16.363340571649385,25800.0,221
IN5291011,0.3366223366223366,263.71616316634936,415800.0,222
MT0000343,0.3359609609609609,11.900247594458266,18800.0,223
KY1180471,0.3359609609609609,30.763406015461264,48600.0,224
TX1580001,0.3359609609609609,25.699470868883278,40600.0,225
NC0158010,0.3359609609609609,3.291557845275691,5200.0,226
KS2004509,0.3355273188397587,161.45745875196002,255400.0,227
KS2000702,0.33462954785635207,105.54291225349756,167400.0,228
IA3730098,0.333994708994709,26.304206300460528,41800.0,229
NC0440010,0.32538237719584867,7.11150222426706,11600.0,230
PA4140118,0.32538237719584867,165.15850855323671,269400.0,231
NC0286020,0.3240987720805936,222.7622257486438,364800.0,232
OH1700112,0.3227777777777778,185.0001882231801,304200.0,233
IN5205004,0.32196969696969696,63.574889610393015,104800.0,234
WI6030127,0.3216127519924988,92.22682246764887,152200.0,235
PA5320025,0.32023809523809527,841.0950962533557,1394000.0,236
KS2003713,0.3179871454278916,43.73627156035761,73000.0,237
LA1053006,0.31781045751633985,174.72812008855217,291800.0,238
IN5244010,0.3169831223628692,25.561671026999473,42800.0,239
MO4010120,0.31595254340383505,80.7218076149604,135600.0,240
KS2009301,0.3151831759426696,99.40948280089069,167400.0,241
OH1201203,0.3151831759426696,13.658411615415087,23000.0,242
MS0180014,0.3151831759426696,84.68215201557354,142600.0,243
