pwsid,name,state,must_replace,unknown,pop,lead90,exposure_per_line,cost_total,priority_rank
NH0811010,FARMINGTON WATER DEPT,NH,70.0,1008.0,3250,0.02,13.064316635745207,530600.0,87
IL0314120,BARTLETT,IL,71.0,462.0,41500,0.0226,12.900170138409896,426100.0,88
IL0311950,MORTON GROVE,IL,3108.0,0.0,25297,0.0176,12.753420310864138,14607600.0,89
GA0030001,WILLACOOCHEE WATER SYSTEM,GA,107.0,512.0,1723,0.023,12.618632202477112,605300.0,90
MT0000321,ROUNDUP WATER DEPARTMENT,MT,2.0,204.0,1900,0.041,12.59344894026975,50200.0,91
IL0311620,LEMONT,IL,65.0,1452.0,17500,0.024,12.582056892778992,595900.0,92
PA6610028,ROUSEVILLE MUN WATERWORKS,PA,3.0,173.0,523,0.0314,12.447725856697822,48700.0,93
IN5283009,PERRYSVILLE WATER WORKS,IN,51.0,24.0,470,0.041,12.417818740399387,244500.0,94
PA2350004,AQUA PA WATER CO CHINCHILLA,PA,11.0,32.0,904,0.025,12.407843137254902,58100.0,95
PA6530010,GALETON BOROUGH AUTHORITY,PA,8.0,42.0,1200,0.039,12.375690607734807,46000.0,96
NY3903648,CARMEL WD 9,NY,4.0,36.0,400,0.029,12.333333333333334,26000.0,97
PA6610035,CORNPLANTER TOWNSHIP,PA,10.0,0.0,1835,0.0295,12.315990990990992,47000.0,98
NE3101907,"GIBBON, CITY OF",NE,51.0,110.0,1878,0.0179,12.3048125,261700.0,99
PA7220037,WILLIAMSTOWN BORO AUTH,PA,4.0,839.0,2390,0.032,12.29325317301269,186600.0,100
PA4070026,HENRIETTA MUTUAL WATER ASSN,PA,12.0,8.0,165,0.022,12.283333333333333,58000.0,101
IA3759031,SCRANTON WATER SYSTEM,IA,21.0,1.0,504,0.017,12.254117647058825,98900.0,102
MI0003360,INKSTER,MI,276.0,1792.0,25076,0.0176,12.19702874902875,1655600.0,103
PA3130044,JIM THORPE BOROUGH WATER WEST,PA,8.0,663.0,2274,0.0173,12.046785714285715,170200.0,104
KS2007301,"MADISON, CITY OF",KS,21.0,18.0,682,0.015,11.860869565217392,102300.0,105
WI2670120,WEST BEND WATERWORKS,WI,703.0,0.0,31752,0.023,11.847111111111111,3304100.0,106
IL0110850,PRINCETON,IL,130.0,2165.0,7832,0.044,11.836440821871285,1044000.0,107
IL1970500,LOCKPORT,IL,44.0,8.0,23100,0.03,11.809815950920246,208400.0,108
CA4900795,STONEGATE MOBILE HOME PARK,CA,3.0,0.0,196,0.018,11.76,14100.0,109
